level,rep,group,diet_no,ratio,yeast,sugar,CFU_AP,CFU_LB,Fecundity,Weight,Protein,Glucose,TAG,Average_counts_L,Average_counts_D,sleep_time_L,sleep_time_D
180,1,LB,13,00:01,0,180,0,800,0,1.1779625,0.686888276,0.027173944,0.12503848,77.3814433,38.70833333,45.49375,102.7947917
180,2,AP,13,00:01,0,180,800,0,2,1.24025,0.303,0.032345232,0.199805808,130.6082474,64.83333333,0,90.53777778
180,2,AP+LB,13,00:01,0,180,1200,200,1,1.302,0.64631995,0.011875746,0.117973694,101.9381443,53.61458333,43.51111111,101.4892157
180,2,AX,13,00:01,0,180,0,0,0,1.1092,1.189,0.027729887,0.222488445,33.97938144,14.16666667,54.04615385,157.1320513
180,2,CV,13,00:01,0,180,800,1100,7,1.045666667,0.638,0.020681132,0.115070325,69.84536082,40.80208333,54.56666667,91.03222222
180,2,LB,13,00:01,0,180,0,700,4,1.08425,0.968,0.027372569,0.189263867,63.77319588,43.39583333,39.82857143,92.78859649
180,3,AP,13,00:01,0,180,500,0,0,1.4898,0.216123925,0.025439601,0.191,135.2783505,34.5,0,56.802
180,3,AP+LB,13,00:01,0,180,3350,18800,1,1.433,0.431226622,0.011551725,0.116140603,104.7731959,18.61458333,39.49583333,73.67698413
180,3,AX,13,00:01,0,180,0,0,0,1.2792,0.726164753,0.01850388,0.104,81.67010309,17.03125,58.15555556,60.65952381
180,3,CV,13,00:01,0,180,,5600,1,1.1314,0.290431321,0.017016718,0.175294065,104.5979381,29.9375,39.99166667,75.66785714
180,3,LB,13,00:01,0,180,0,3266.666667,9,1.2296,0.589182014,0.021816255,0.177,55.25773196,16.15625,59.11929825,109.4861111
180,4,AP,13,00:01,0,180,800,0,11,1.1988,0.328821214,0.021419104,0.18381359,88.13402062,77.07291667,33.46111111,72.39487179
180,4,AP+LB,13,00:01,0,180,150,250,0,1.307,0.419748364,0.016713098,0.106716229,60.54639175,39.86458333,54.96666667,59.03333333
180,4,AX,13,00:01,0,180,0,0,12,1.1822,0.869972097,0.019552855,0.142550332,96.88659794,81.98958333,65.38518519,61.32666667
180,4,CV,13,00:01,0,180,4800,100,0,1.4124,0.369691234,0.017999913,0.143317267,61.37113402,58.47916667,46.38833333,55.43333333
180,4,LB,13,00:01,0,180,0,3000,3,1.176,1.14672425,0.013399102,0.171832567,77.88659794,68.51041667,61.45277778,53.6968254
180,5,AP,13,00:01,0,180,1000,0,18,1.3516,0.218,0.016538476,0.082891137,45.60824742,31.9375,53.02142857,78.6377193
180,5,AP+LB,13,00:01,0,180,1600,1600,0,1.3274,0.860171045,0.016917123,0.228321528,80.68041237,17.55208333,49.94166667,181.9393939
